INFO 2023-09-22 15:15:16,544 autoreload trigger_reload 21689 8461475328 /Users/hikmatillo/PycharmProjects/expo_bot/views.py changed, reloading.
WARNING 2023-09-22 15:49:59,719 basehttp log_message 254011 140159370634816 "GET /staticvendor/select2/js/select2.min.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:59,770 basehttp log_message 254011 140159395812928 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:49:59,770 basehttp log_message 254011 140159395812928 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
INFO 2023-09-22 15:50:03,243 basehttp log_message 254011 140159395812928 "GET /admin/expoBot/bot/ HTTP/1.0" 200 16119
INFO 2023-09-22 15:50:03,243 basehttp log_message 254011 140159395812928 "GET /admin/expoBot/bot/ HTTP/1.0" 200 16119
WARNING 2023-09-22 15:50:03,342 log log_response 254011 140159395812928 Not Found: /staticjazzmin/css/main.css
WARNING 2023-09-22 15:50:03,395 log log_response 254011 140159387420224 Not Found: /staticadmin/js/vendor/jquery/jquery.js
WARNING 2023-09-22 15:50:03,434 log log_response 254011 140159362242112 Not Found: /staticvendor/adminlte/css/adminlte.min.css
WARNING 2023-09-22 15:50:03,459 basehttp log_message 254011 140159395812928 "GET /staticjazzmin/css/main.css HTTP/1.0" 404 2294
INFO 2023-09-22 15:50:03,470 basehttp log_message 254011 140159370634816 "GET /admin/jsi18n/ HTTP/1.0" 200 16066
WARNING 2023-09-22 15:50:03,459 basehttp log_message 254011 140159395812928 "GET /staticjazzmin/css/main.css HTTP/1.0" 404 2294
WARNING 2023-09-22 15:50:03,485 log log_response 254011 140159379027520 Not Found: /staticvendor/select2/css/select2.min.css
WARNING 2023-09-22 15:50:03,488 log log_response 254011 140159783056960 Not Found: /staticvendor/fontawesome-free/css/all.min.css
INFO 2023-09-22 15:50:03,470 basehttp log_message 254011 140159370634816 "GET /admin/jsi18n/ HTTP/1.0" 200 16066
WARNING 2023-09-22 15:50:03,612 basehttp log_message 254011 140159362242112 "GET /staticvendor/adminlte/css/adminlte.min.css HTTP/1.0" 404 2342
WARNING 2023-09-22 15:50:03,612 basehttp log_message 254011 140159362242112 "GET /staticvendor/adminlte/css/adminlte.min.css HTTP/1.0" 404 2342
WARNING 2023-09-22 15:50:03,644 log log_response 254011 140158875727424 Not Found: /staticadmin/js/core.js
WARNING 2023-09-22 15:50:03,658 basehttp log_message 254011 140159387420224 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:50:03,658 basehttp log_message 254011 140159387420224 "GET /staticadmin/js/vendor/jquery/jquery.js HTTP/1.0" 404 2330
WARNING 2023-09-22 15:50:03,663 basehttp log_message 254011 140159379027520 "GET /staticvendor/select2/css/select2.min.css HTTP/1.0" 404 2336
WARNING 2023-09-22 15:50:03,663 basehttp log_message 254011 140159379027520 "GET /staticvendor/select2/css/select2.min.css HTTP/1.0" 404 2336
WARNING 2023-09-22 15:50:03,663 basehttp log_message 254011 140159783056960 "GET /staticvendor/fontawesome-free/css/all.min.css HTTP/1.0" 404 2351
WARNING 2023-09-22 15:50:03,668 log log_response 254011 140159395812928 Not Found: /staticadmin/js/jquery.init.js
WARNING 2023-09-22 15:50:03,743 log log_response 254011 140159370634816 Not Found: /staticadmin/js/admin/RelatedObjectLookups.js
WARNING 2023-09-22 15:50:03,663 basehttp log_message 254011 140159783056960 "GET /staticvendor/fontawesome-free/css/all.min.css HTTP/1.0" 404 2351
WARNING 2023-09-22 15:50:03,785 log log_response 254011 140159387420224 Not Found: /staticadmin/js/actions.js
WARNING 2023-09-22 15:50:03,811 log log_response 254011 140159379027520 Not Found: /staticadmin/js/prepopulate.js
WARNING 2023-09-22 15:50:03,889 basehttp log_message 254011 140158875727424 "GET /staticadmin/js/core.js HTTP/1.0" 404 2282
WARNING 2023-09-22 15:50:03,889 basehttp log_message 254011 140158875727424 "GET /staticadmin/js/core.js HTTP/1.0" 404 2282
WARNING 2023-09-22 15:50:03,953 basehttp log_message 254011 140159395812928 "GET /staticadmin/js/jquery.init.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:50:03,953 basehttp log_message 254011 140159395812928 "GET /staticadmin/js/jquery.init.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:50:03,961 basehttp log_message 254011 140159370634816 "GET /staticadmin/js/admin/RelatedObjectLookups.js HTTP/1.0" 404 2348
WARNING 2023-09-22 15:50:03,961 basehttp log_message 254011 140159370634816 "GET /staticadmin/js/admin/RelatedObjectLookups.js HTTP/1.0" 404 2348
WARNING 2023-09-22 15:50:03,963 basehttp log_message 254011 140159387420224 "GET /staticadmin/js/actions.js HTTP/1.0" 404 2291
WARNING 2023-09-22 15:50:03,988 log log_response 254011 140159362242112 Not Found: /staticadmin/js/urlify.js
WARNING 2023-09-22 15:50:03,963 basehttp log_message 254011 140159387420224 "GET /staticadmin/js/actions.js HTTP/1.0" 404 2291
WARNING 2023-09-22 15:50:04,046 log log_response 254011 140159370634816 Not Found: /staticadmin/js/vendor/xregexp/xregexp.js
WARNING 2023-09-22 15:50:04,066 basehttp log_message 254011 140159379027520 "GET /staticadmin/js/prepopulate.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:50:04,095 log log_response 254011 140159395812928 Not Found: /staticvendor/bootstrap/js/bootstrap.min.js
WARNING 2023-09-22 15:50:04,104 log log_response 254011 140158875727424 Not Found: /staticvendor/adminlte/img/AdminLTELogo.png
WARNING 2023-09-22 15:50:04,066 basehttp log_message 254011 140159379027520 "GET /staticadmin/js/prepopulate.js HTTP/1.0" 404 2303
